customer_id,signup_date,country,acquisition_channel,plan
C000000,2025-01-17,IN,social,bronze
C000001,2024-07-02,IN,email,bronze
C000002,2025-03-31,IN,organic,bronze
C000003,2024-11-24,US,organic,silver
C000004,2024-02-05,IN,affiliate,bronze
C000005,2025-09-08,GB,affiliate,bronze
C000006,2025-01-08,AE,social,bronze
C000007,2025-01-27,IN,email,silver
C000008,2024-02-18,IN,email,silver
C000009,2024-07-07,AU,social,bronze
C000010,2024-05-30,US,referral,gold
C000011,2025-06-16,GB,affiliate,bronze
C000012,2024-10-21,US,social,bronze
C000013,2025-02-26,IN,paid_search,bronze
C000014,2024-07-04,AE,organic,bronze
C000015,2024-03-29,US,organic,bronze
C000016,2024-08-30,IN,affiliate,bronze
C000017,2024-01-24,US,affiliate,bronze
C000018,2025-03-02,SG,paid_search,bronze
C000019,2024-10-13,AE,social,silver
C000020,2025-01-05,GB,organic,gold
C000021,2024-05-23,IN,organic,bronze
C000022,2025-08-28,IN,referral,silver
C000023,2025-05-06,AE,paid_search,gold
C000024,2025-01-21,AE,organic,silver
C000025,2024-03-15,SG,paid_search,silver
C000026,2024-07-15,AU,paid_search,silver
C000027,2024-01-17,IN,affiliate,silver
C000028,2024-02-28,US,referral,silver
C000029,2024-11-15,US,social,bronze
C000030,2024-12-27,IN,social,bronze
C000031,2025-08-21,US,paid_search,silver
C000032,2024-05-10,AU,social,bronze
C000033,2024-05-30,AU,paid_search,silver
C000034,2024-07-17,US,organic,bronze
C000035,2024-03-13,IN,email,bronze
C000036,2024-02-19,AE,paid_search,silver
C000037,2024-07-20,SG,paid_search,bronze
C000038,2024-03-29,US,organic,bronze
C000039,2024-11-06,US,email,bronze
C000040,2024-07-01,IN,organic,silver
C000041,2025-03-07,IN,paid_search,bronze
C000042,2024-11-26,IN,email,silver
C000043,2024-05-04,IN,paid_search,silver
C000044,2025-03-07,IN,referral,bronze
C000045,2025-02-11,US,organic,bronze
C000046,2024-06-07,IN,affiliate,bronze
C000047,2024-04-24,SG,referral,silver
C000048,2024-11-14,IN,social,bronze
C000049,2024-02-22,IN,social,silver
C000050,2024-03-18,IN,paid_search,silver
C000051,2024-01-03,US,affiliate,silver
C000052,2025-01-28,IN,referral,silver
C000053,2024-11-03,IN,affiliate,silver
C000054,2024-11-29,US,referral,silver
C000055,2025-01-23,US,social,bronze
C000056,2024-07-12,IN,social,bronze
C000057,2024-09-07,AU,paid_search,bronze
C000058,2024-02-22,AE,affiliate,silver
C000059,2024-02-13,US,email,bronze
C000060,2024-11-05,AU,social,bronze
C000061,2024-07-18,GB,organic,bronze
C000062,2024-09-05,US,social,bronze
C000063,2025-01-11,AU,affiliate,bronze
C000064,2024-10-15,US,referral,silver
C000065,2024-08-30,IN,organic,gold
C000066,2024-09-02,IN,organic,gold
C000067,2024-04-30,IN,paid_search,silver
C000068,2024-01-12,IN,organic,silver
C000069,2024-07-01,IN,referral,bronze
C000070,2024-03-24,US,paid_search,bronze
C000071,2024-06-17,IN,social,bronze
C000072,2025-03-26,IN,organic,gold
C000073,2024-04-01,IN,paid_search,gold
C000074,2024-01-22,IN,referral,gold
C000075,2024-04-21,AU,paid_search,bronze
C000076,2024-04-26,IN,organic,bronze
C000077,2024-11-01,SG,organic,bronze
C000078,2024-09-01,SG,referral,bronze
C000079,2025-01-25,IN,referral,bronze
C000080,2024-11-03,IN,organic,bronze
C000081,2024-06-16,AE,social,bronze
C000082,2025-02-19,IN,organic,bronze
C000083,2024-03-04,IN,social,silver
C000084,2024-01-09,SG,organic,gold
C000085,2024-02-03,GB,email,bronze
C000086,2024-12-11,IN,referral,gold
C000087,2024-07-13,IN,organic,bronze
C000088,2024-03-02,GB,paid_search,bronze
C000089,2024-08-02,IN,organic,bronze
C000090,2024-02-27,GB,paid_search,silver
C000091,2024-11-23,US,organic,bronze
C000092,2024-07-05,AE,organic,bronze
C000093,2024-06-04,US,referral,bronze
C000094,2024-04-29,AU,organic,silver
C000095,2024-10-13,SG,email,bronze
C000096,2024-05-26,IN,organic,silver
C000097,2024-02-02,US,social,bronze
C000098,2024-02-14,AU,paid_search,bronze
C000099,2025-08-10,IN,referral,gold
C000100,2025-05-24,IN,organic,bronze
C000101,2024-11-25,US,organic,bronze
C000102,2024-04-14,IN,affiliate,bronze
C000103,2025-08-24,IN,affiliate,bronze
C000104,2025-01-21,IN,social,silver
C000105,2024-12-07,IN,organic,silver
C000106,2024-07-07,SG,organic,bronze
C000107,2024-04-17,US,email,silver
C000108,2024-02-06,IN,social,bronze
C000109,2025-05-17,IN,social,bronze
C000110,2024-07-10,US,organic,silver
C000111,2024-03-19,IN,organic,silver
C000112,2024-05-01,IN,referral,silver
C000113,2024-09-13,IN,affiliate,bronze
C000114,2024-03-08,GB,organic,silver
C000115,2025-03-29,SG,referral,gold
C000116,2025-01-06,US,social,bronze
C000117,2024-12-09,IN,paid_search,silver
C000118,2024-06-28,IN,paid_search,bronze
C000119,2024-10-11,IN,affiliate,bronze
C000120,2024-09-16,IN,paid_search,gold
C000121,2024-10-25,US,social,silver
C000122,2024-02-01,SG,affiliate,silver
C000123,2024-06-21,IN,organic,bronze
C000124,2024-01-16,IN,referral,gold
C000125,2024-07-29,US,paid_search,silver
C000126,2024-05-12,IN,paid_search,bronze
C000127,2024-02-24,IN,social,bronze
C000128,2024-02-08,IN,social,silver
C000129,2024-09-18,US,paid_search,bronze
C000130,2024-03-06,US,social,silver
C000131,2025-06-14,US,referral,bronze
C000132,2024-09-14,AE,email,gold
C000133,2024-05-20,IN,email,silver
C000134,2024-09-20,US,organic,bronze
C000135,2024-01-09,US,paid_search,bronze
C000136,2025-08-04,IN,social,silver
C000137,2024-07-23,GB,organic,silver
C000138,2025-01-24,IN,affiliate,bronze
C000139,2024-01-31,US,paid_search,bronze
C000140,2024-07-25,IN,organic,bronze
C000141,2024-07-28,IN,organic,bronze
C000142,2025-07-01,IN,organic,bronze
C000143,2024-09-09,US,paid_search,silver
C000144,2024-07-19,IN,social,silver
C000145,2024-04-14,GB,social,bronze
C000146,2024-05-13,US,organic,bronze
C000147,2024-08-12,AE,organic,silver
C000148,2024-07-02,IN,email,silver
C000149,2024-01-08,SG,organic,bronze
C000150,2025-03-01,US,paid_search,silver
C000151,2025-05-09,GB,social,bronze
C000152,2024-02-23,AU,social,bronze
C000153,2024-08-30,US,email,gold
C000154,2024-02-10,SG,social,bronze
C000155,2024-11-08,IN,referral,bronze
C000156,2024-04-21,AE,email,gold
C000157,2024-10-30,AU,organic,bronze
C000158,2024-12-14,IN,organic,bronze
C000159,2025-01-13,US,paid_search,gold
C000160,2024-02-10,SG,paid_search,gold
C000161,2025-06-02,IN,social,silver
C000162,2024-03-30,GB,organic,gold
C000163,2024-01-14,IN,organic,bronze
C000164,2024-08-30,IN,paid_search,bronze
C000165,2024-05-31,GB,social,silver
C000166,2025-03-04,IN,social,bronze
C000167,2025-02-14,GB,referral,bronze
C000168,2024-05-06,US,organic,bronze
C000169,2025-07-25,SG,paid_search,silver
C000170,2024-04-25,IN,referral,silver
C000171,2024-08-09,US,social,silver
C000172,2024-04-10,US,social,bronze
C000173,2025-06-29,SG,social,bronze
C000174,2024-03-03,SG,organic,bronze
C000175,2024-01-17,IN,email,bronze
C000176,2024-06-30,AE,social,bronze
C000177,2025-10-28,US,social,bronze
C000178,2025-05-04,IN,social,silver
C000179,2024-12-29,IN,paid_search,bronze
C000180,2025-05-03,IN,organic,bronze
C000181,2025-05-06,US,affiliate,bronze
C000182,2024-08-11,US,paid_search,gold
C000183,2024-05-06,IN,organic,bronze
C000184,2025-01-16,SG,paid_search,bronze
C000185,2024-11-01,US,referral,bronze
C000186,2024-06-01,AU,paid_search,bronze
C000187,2024-02-05,IN,paid_search,bronze
C000188,2024-12-28,IN,social,silver
C000189,2024-04-13,SG,email,bronze
C000190,2025-06-30,GB,social,bronze
C000191,2024-04-04,IN,email,bronze
C000192,2024-02-16,IN,organic,bronze
C000193,2025-03-05,IN,referral,bronze
C000194,2024-02-28,GB,referral,bronze
C000195,2024-03-09,IN,paid_search,silver
C000196,2024-09-24,IN,social,bronze
C000197,2025-04-16,AE,organic,bronze
C000198,2024-03-16,IN,paid_search,gold
C000199,2024-05-03,US,organic,bronze
