interaction_id,customer_id,event_time,event_type,channel
I00000001,C000000,2025-01-20 22:00:00,email_open,web
I00000002,C000000,2025-02-01 10:00:00,page_view,email
I00000003,C000000,2025-02-15 04:00:00,page_view,web
I00000004,C000000,2025-02-22 18:00:00,login,web
I00000005,C000000,2025-02-24 02:00:00,email_open,mobile_app
I00000006,C000000,2025-03-08 02:00:00,add_to_cart,mobile_app
I00000007,C000000,2025-03-09 13:00:00,login,web
I00000008,C000000,2025-03-14 19:00:00,login,mobile_app
I00000009,C000000,2025-03-23 17:00:00,login,mobile_app
I00000010,C000000,2025-03-26 11:00:00,email_open,web
I00000011,C000000,2025-04-03 00:00:00,page_view,web
I00000012,C000000,2025-04-19 16:00:00,page_view,email
I00000013,C000000,2025-04-21 03:00:00,login,mobile_app
I00000014,C000000,2025-05-01 20:00:00,page_view,web
I00000015,C000000,2025-05-06 09:00:00,login,email
I00000016,C000000,2025-05-10 15:00:00,add_to_cart,mobile_app
I00000017,C000000,2025-05-21 21:00:00,login,email
I00000018,C000000,2025-06-23 15:00:00,page_view,mobile_app
I00000019,C000000,2025-06-26 09:00:00,login,web
I00000020,C000000,2025-07-05 11:00:00,page_view,web
I00000021,C000000,2025-07-05 09:00:00,login,web
I00000022,C000000,2025-07-07 10:00:00,login,web
I00000023,C000000,2025-07-20 01:00:00,email_open,web
I00000024,C000000,2025-07-31 15:00:00,page_view,mobile_app
I00000025,C000000,2025-08-17 01:00:00,page_view,mobile_app
I00000026,C000000,2025-08-31 06:00:00,email_open,web
I00000027,C000000,2025-09-01 11:00:00,email_click,web
I00000028,C000000,2025-09-07 00:00:00,add_to_cart,web
I00000029,C000000,2025-09-08 06:00:00,add_to_cart,mobile_app
I00000030,C000000,2025-09-10 10:00:00,add_to_cart,mobile_app
I00000031,C000000,2025-09-22 19:00:00,page_view,web
I00000032,C000000,2025-10-11 04:00:00,page_view,web
I00000033,C000000,2025-10-26 02:00:00,email_open,mobile_app
I00000034,C000000,2025-10-31 05:00:00,email_open,mobile_app
I00000035,C000000,2025-12-04 18:00:00,page_view,web
I00000036,C000000,2025-12-06 01:00:00,email_open,web
I00000037,C000000,2025-12-10 17:00:00,email_open,web
I00000038,C000000,2025-12-10 07:00:00,page_view,web
I00000039,C000000,2025-12-16 20:00:00,page_view,email
I00000040,C000000,2025-12-16 06:00:00,page_view,web
I00000041,C000000,2025-12-20 14:00:00,page_view,mobile_app
I00000042,C000000,2026-01-26 17:00:00,email_open,email
I00000043,C000000,2026-02-22 01:00:00,page_view,web
I00000044,C000000,2026-03-10 13:00:00,email_open,email
I00000045,C000000,2026-03-28 02:00:00,page_view,web
I00000046,C000001,2024-07-08 22:00:00,login,web
I00000047,C000001,2024-07-18 02:00:00,page_view,mobile_app
I00000048,C000001,2024-08-16 23:00:00,add_to_cart,mobile_app
I00000049,C000001,2024-09-01 18:00:00,email_open,email
I00000050,C000001,2024-09-05 11:00:00,login,mobile_app
I00000051,C000001,2024-09-12 09:00:00,page_view,web
I00000052,C000001,2024-09-17 12:00:00,page_view,web
I00000053,C000001,2024-09-19 06:00:00,login,mobile_app
I00000054,C000001,2024-09-27 03:00:00,email_click,email
I00000055,C000001,2024-09-30 05:00:00,page_view,email
I00000056,C000001,2024-10-11 02:00:00,email_open,web
I00000057,C000001,2024-10-19 17:00:00,page_view,mobile_app
I00000058,C000001,2024-10-27 11:00:00,page_view,mobile_app
I00000059,C000001,2024-10-28 21:00:00,email_open,web
I00000060,C000001,2024-10-30 01:00:00,login,web
I00000061,C000001,2024-11-01 12:00:00,page_view,web
I00000062,C000001,2024-11-02 21:00:00,add_to_cart,mobile_app
I00000063,C000001,2024-12-25 08:00:00,email_click,web
I00000064,C000001,2025-01-17 01:00:00,email_open,email
I00000065,C000001,2025-01-17 00:00:00,page_view,web
I00000066,C000001,2025-01-19 22:00:00,login,web
I00000067,C000001,2025-01-22 07:00:00,add_to_cart,web
I00000068,C000001,2025-01-24 01:00:00,email_open,web
I00000069,C000001,2025-01-30 00:00:00,page_view,web
I00000070,C000001,2025-02-01 17:00:00,page_view,web
I00000071,C000001,2025-02-02 08:00:00,page_view,web
I00000072,C000001,2025-02-08 17:00:00,page_view,web
I00000073,C000001,2025-02-14 11:00:00,page_view,mobile_app
I00000074,C000001,2025-02-18 16:00:00,page_view,web
I00000075,C000001,2025-02-20 19:00:00,page_view,web
I00000076,C000001,2025-03-06 15:00:00,page_view,web
I00000077,C000001,2025-03-11 00:00:00,email_open,web
I00000078,C000001,2025-03-17 04:00:00,email_open,mobile_app
I00000079,C000001,2025-03-26 15:00:00,add_to_cart,web
I00000080,C000001,2025-04-12 02:00:00,add_to_cart,mobile_app
I00000081,C000001,2025-04-16 07:00:00,email_open,web
I00000082,C000001,2025-04-18 05:00:00,page_view,web
I00000083,C000001,2025-04-19 08:00:00,page_view,web
I00000084,C000001,2025-04-24 06:00:00,email_open,web
I00000085,C000001,2025-05-03 17:00:00,page_view,web
I00000086,C000001,2025-05-10 07:00:00,add_to_cart,mobile_app
I00000087,C000001,2025-05-12 14:00:00,email_open,web
I00000088,C000001,2025-05-14 08:00:00,page_view,web
I00000089,C000001,2025-05-15 11:00:00,login,mobile_app
I00000090,C000001,2025-05-19 23:00:00,login,email
I00000091,C000001,2025-05-31 21:00:00,page_view,web
I00000092,C000001,2025-06-02 00:00:00,page_view,web
I00000093,C000001,2025-06-09 05:00:00,page_view,email
I00000094,C000001,2025-06-14 19:00:00,email_open,web
I00000095,C000001,2025-06-19 21:00:00,page_view,web
I00000096,C000001,2025-07-03 18:00:00,add_to_cart,web
I00000097,C000001,2025-07-04 00:00:00,page_view,mobile_app
I00000098,C000001,2025-07-11 13:00:00,email_click,mobile_app
