order_id,customer_id,order_date,product_id,quantity,amount,discount,status
O00000001,C000000,2025-01-21 12:00:00,P00012,1,13.07,0.0,completed
O00000002,C000000,2025-02-10 16:00:00,P00069,1,175.77,0.0,completed
O00000003,C000000,2025-05-25 20:00:00,P00025,2,54.68,0.0,completed
O00000004,C000000,2025-06-03 18:00:00,P00001,1,18.29,0.0,completed
O00000005,C000000,2025-08-19 08:00:00,P00026,3,75.09,0.1,completed
O00000006,C000000,2025-09-13 05:00:00,P00005,3,60.94,0.1,completed
O00000007,C000000,2025-09-30 15:00:00,P00025,3,73.82,0.1,completed
O00000008,C000000,2025-11-17 07:00:00,P00024,2,39.76,0.0,completed
O00000009,C000000,2026-01-15 06:00:00,P00004,2,29.6,0.2,completed
O00000010,C000000,2026-03-05 07:00:00,P00022,2,46.88,0.0,completed
O00000011,C000001,2024-07-15 08:00:00,P00036,2,30.18,0.0,completed
O00000012,C000001,2024-07-28 07:00:00,P00041,3,48.09,0.1,completed
O00000013,C000001,2024-09-25 01:00:00,P00000,1,36.42,0.2,completed
O00000014,C000001,2024-12-11 01:00:00,P00066,2,14.86,0.0,completed
O00000015,C000001,2024-12-21 22:00:00,P00075,2,48.5,0.0,completed
O00000016,C000001,2025-01-05 02:00:00,P00031,2,9.86,0.0,completed
O00000017,C000001,2025-01-13 15:00:00,P00053,3,118.47,0.0,completed
O00000018,C000001,2025-02-10 23:00:00,P00041,2,32.06,0.1,completed
O00000019,C000001,2025-08-28 12:00:00,P00011,1,18.72,0.0,completed
O00000020,C000002,2025-05-11 01:00:00,P00005,1,20.31,0.1,completed
O00000021,C000002,2025-06-22 13:00:00,P00054,3,27.39,0.0,completed
O00000022,C000002,2025-07-02 05:00:00,P00013,1,19.71,0.0,completed
O00000023,C000002,2025-08-28 02:00:00,P00051,1,38.07,0.1,completed
O00000024,C000003,2024-12-07 00:00:00,P00059,2,26.84,0.0,completed
O00000025,C000003,2024-12-27 01:00:00,P00072,2,9.08,0.0,completed
O00000026,C000003,2025-01-26 21:00:00,P00045,1,14.42,0.1,completed
O00000027,C000003,2025-02-02 06:00:00,P00055,3,30.63,0.0,cancelled
O00000028,C000003,2025-03-26 17:00:00,P00070,2,13.7,0.0,completed
O00000029,C000003,2025-04-01 03:00:00,P00039,3,62.46,0.0,completed
O00000030,C000003,2025-04-19 19:00:00,P00044,2,75.0,0.0,completed
O00000031,C000003,2025-04-30 10:00:00,P00054,2,16.43,0.1,completed
O00000032,C000003,2025-05-05 10:00:00,P00009,2,53.79,0.2,completed
O00000033,C000003,2025-05-12 02:00:00,P00039,2,41.64,0.0,completed
O00000034,C000003,2025-05-26 02:00:00,P00042,2,77.94,0.0,completed
O00000035,C000003,2025-06-10 19:00:00,P00016,2,25.54,0.0,completed
O00000036,C000003,2025-07-22 22:00:00,P00036,1,15.09,0.0,completed
O00000037,C000003,2025-07-31 13:00:00,P00023,3,75.05,0.2,completed
O00000038,C000003,2025-08-05 23:00:00,P00054,3,27.39,0.0,completed
O00000039,C000003,2025-10-19 08:00:00,P00039,2,41.64,0.0,completed
O00000040,C000003,2025-10-25 06:00:00,P00025,2,54.68,0.0,completed
O00000041,C000003,2025-11-09 18:00:00,P00058,2,43.42,0.0,completed
