product_id,category,price
P00000,toys,45.53
P00001,books,18.29
P00002,home,32.54
P00003,toys,24.16
P00004,home,18.5
P00005,apparel,22.57
P00006,books,32.08
P00007,grocery,53.63
P00008,electronics,14.24
P00009,beauty,33.62
P00010,electronics,17.47
P00011,beauty,18.72
P00012,sports,13.07
P00013,electronics,19.71
P00014,home,10.24
P00015,toys,10.9
P00016,home,12.77
P00017,sports,4.97
P00018,home,12.44
P00019,grocery,17.0
P00020,apparel,31.03
P00021,toys,9.09
P00022,home,23.44
P00023,apparel,31.27
P00024,electronics,19.88
P00025,grocery,27.34
P00026,grocery,27.81
P00027,beauty,18.53
P00028,electronics,14.97
P00029,beauty,26.84
P00030,sports,11.14
P00031,books,4.93
P00032,electronics,14.28
P00033,home,15.95
P00034,toys,26.32
P00035,toys,25.5
P00036,beauty,15.09
P00037,beauty,25.12
P00038,beauty,44.53
P00039,sports,20.82
P00040,books,12.35
P00041,beauty,17.81
P00042,home,38.97
P00043,electronics,8.62
P00044,beauty,37.5
P00045,sports,16.02
P00046,grocery,50.48
P00047,grocery,28.49
P00048,home,35.75
P00049,electronics,44.42
P00050,beauty,50.25
P00051,home,42.3
P00052,apparel,12.14
P00053,books,39.49
P00054,beauty,9.13
P00055,beauty,10.21
P00056,grocery,22.05
P00057,sports,56.05
P00058,toys,21.71
P00059,home,13.42
P00060,grocery,36.19
P00061,electronics,16.95
P00062,electronics,32.33
P00063,sports,25.76
P00064,electronics,12.02
P00065,home,52.13
P00066,grocery,7.43
P00067,grocery,12.58
P00068,home,36.93
P00069,beauty,175.77
P00070,toys,6.85
P00071,sports,21.61
P00072,home,4.54
P00073,sports,21.31
P00074,beauty,14.95
P00075,grocery,24.25
P00076,beauty,63.51
P00077,books,43.29
P00078,apparel,18.48
P00079,electronics,38.83
