ticket_id,customer_id,created_at,category
T0000001,C000000,2025-07-26 02:00:00,billing
T0000002,C000000,2025-09-05 00:00:00,product_issue
T0000003,C000001,2024-08-25 22:00:00,cancellation_request
T0000004,C000001,2025-05-30 00:00:00,general
T0000005,C000002,2025-07-05 02:00:00,general
T0000006,C000003,2025-07-21 14:00:00,shipping
T0000007,C000003,2026-05-23 00:00:00,general
T0000008,C000004,2024-04-06 10:00:00,billing
T0000009,C000006,2025-05-06 06:00:00,billing
T0000010,C000006,2025-05-29 01:00:00,product_issue
T0000011,C000006,2025-08-11 13:00:00,billing
T0000012,C000008,2024-08-20 04:00:00,general
T0000013,C000009,2024-07-14 18:00:00,shipping
T0000014,C000009,2024-08-30 03:00:00,product_issue
T0000015,C000009,2024-12-01 00:00:00,cancellation_request
T0000016,C000009,2025-03-19 08:00:00,shipping
T0000017,C000009,2025-12-13 23:00:00,shipping
T0000018,C000010,2024-06-16 12:00:00,general
T0000019,C000010,2025-06-24 00:00:00,product_issue
T0000020,C000010,2025-07-03 06:00:00,shipping
T0000021,C000010,2025-08-14 11:00:00,billing
T0000022,C000010,2026-03-07 21:00:00,product_issue
T0000023,C000010,2026-03-18 15:00:00,billing
T0000024,C000010,2026-04-27 07:00:00,billing
T0000025,C000011,2025-08-09 22:00:00,billing
T0000026,C000011,2026-04-05 03:00:00,billing
T0000027,C000012,2025-11-17 09:00:00,general
T0000028,C000015,2024-07-26 07:00:00,cancellation_request
T0000029,C000016,2026-02-28 15:00:00,product_issue
T0000030,C000016,2026-04-28 14:00:00,shipping
T0000031,C000017,2024-06-05 10:00:00,billing
T0000032,C000018,2025-11-28 11:00:00,shipping
T0000033,C000018,2026-04-30 04:00:00,general
T0000034,C000018,2026-05-30 00:00:00,cancellation_request
T0000035,C000019,2025-04-01 11:00:00,shipping
T0000036,C000019,2025-10-30 06:00:00,product_issue
T0000037,C000021,2024-05-24 16:00:00,shipping
T0000038,C000021,2024-10-06 19:00:00,general
T0000039,C000021,2024-11-09 17:00:00,cancellation_request
T0000040,C000023,2025-12-21 22:00:00,shipping
T0000041,C000025,2025-02-24 19:00:00,general
T0000042,C000025,2025-03-15 03:00:00,shipping
T0000043,C000025,2026-01-23 04:00:00,product_issue
T0000044,C000025,2026-06-26 00:00:00,shipping
T0000045,C000025,2026-06-28 17:00:00,billing
T0000046,C000026,2025-03-04 09:00:00,general
T0000047,C000026,2025-05-01 19:00:00,billing
T0000048,C000026,2025-06-16 19:00:00,product_issue
T0000049,C000026,2025-07-18 20:00:00,cancellation_request
T0000050,C000026,2025-11-01 09:00:00,shipping
T0000051,C000026,2026-04-03 02:00:00,billing
T0000052,C000027,2024-04-05 22:00:00,billing
T0000053,C000027,2024-05-20 21:00:00,product_issue
T0000054,C000028,2025-04-25 23:00:00,shipping
T0000055,C000029,2025-06-20 07:00:00,cancellation_request
T0000056,C000029,2025-08-07 10:00:00,product_issue
T0000057,C000030,2025-05-26 03:00:00,billing
T0000058,C000030,2026-01-18 04:00:00,shipping
T0000059,C000031,2026-03-23 16:00:00,product_issue
T0000060,C000033,2024-06-24 03:00:00,shipping
T0000061,C000034,2025-09-30 00:00:00,product_issue
T0000062,C000034,2025-10-10 18:00:00,cancellation_request
T0000063,C000035,2024-05-07 22:00:00,cancellation_request
T0000064,C000035,2025-03-22 17:00:00,billing
T0000065,C000035,2025-08-27 17:00:00,shipping
T0000066,C000035,2025-09-25 09:00:00,cancellation_request
T0000067,C000036,2024-02-28 15:00:00,general
T0000068,C000038,2024-07-10 08:00:00,general
T0000069,C000039,2024-12-14 00:00:00,cancellation_request
T0000070,C000039,2025-01-28 00:00:00,general
T0000071,C000039,2025-03-14 01:00:00,product_issue
T0000072,C000039,2026-01-19 15:00:00,general
T0000073,C000041,2025-08-02 05:00:00,product_issue
T0000074,C000042,2025-01-02 18:00:00,general
T0000075,C000042,2025-02-10 08:00:00,billing
T0000076,C000042,2025-02-26 02:00:00,billing
T0000077,C000042,2025-12-15 00:00:00,shipping
T0000078,C000042,2026-05-09 07:00:00,billing
